,,Major
A,220,#505050
A[+1],222.7901334,#202020
A[+2],225.6156524,#202020
A[+3],228.4770058,#202020
A[+4],231.3746482,#202020
A#,234.3090397,#3A3A3A
A#[+1],237.2806464,#202020
A#[+2],240.2899402,#202020
A#[+3],243.3373992,#202020
B,246.4235074,#505050
B[+1],249.5487549,#202020
B[+2],252.7136381,#202020
B[+3],255.9186597,#202020
B[+4],259.1643288,#202020
C,262.4511608,#606060
C[+1],265.7796778,#202020
C[+2],269.1504084,#202020
C[+3],272.5638881,#202020
C#,276.020659,#3A3A3A
C#[+1],279.5212702,#202020
C#[+2],283.0662776,#202020
C#[+3],286.6562442,#202020
C#[+4],290.2917404,#202020
D,293.9733434,#505050
D[+1],297.7016381,#202020
D[+2],301.4772166,#202020
D[+3],305.3006786,#202020
D#,309.1726314,#3A3A3A
D#[+1],313.0936899,#202020
D#[+2],317.064477,#202020
D#[+3],321.0856232,#202020
D#[+4],325.1577674,#202020
E,329.2815562,#505050
E[+1],333.4576446,#202020
E[+2],337.686696,#202020
E[+3],341.969382,#202020
E[+4],346.3063828,#202020
F,350.6983873,#505050
F[+1],355.1460931,#202020
F[+2],359.6502066,#202020
F[+3],364.2114431,#202020
F#,368.8305272,#3A3A3A
F#[+1],373.5081925,#202020
F#[+2],378.2451819,#202020
F#[+3],383.0422479,#202020
F#[+4],387.9001522,#202020
G,392.8196666,#505050
G[+1],397.8015723,#202020
G[+2],402.8466606,#202020
G[+3],407.955733,#202020
G#,413.1296007,#3A3A3A
G#[+1],418.3690856,#202020
G#[+2],423.6750199,#202020
G#[+3],429.0482463,#202020
G#[+4],434.4896183,#202020
